Date,Clicks,Impressions,CTR,Position
2026-09-07,19,127,14.96%,19.5
2026-09-08,15,78,19.23%,16.9
2026-09-09,16,68,23.53%,17.8
2026-09-10,15,69,21.74%,20.5
2026-09-11,16,61,26.23%,11.6
2026-09-12,16,100,16%,23.3
2026-09-13,4,24,16.67%,12
2026-09-14,0,0,,
