Date,Not indexed,Indexed,Impressions
2026-08-08,,,0
2026-08-09,,,9
2026-08-10,59,80,51
2026-08-11,67,83,39
2026-08-12,67,83,40
2026-08-13,67,83,43
2026-08-14,67,83,31
2026-08-15,77,84,41
2026-08-16,77,84,58
2026-08-17,77,84,52
2026-08-18,73,91,52
2026-08-19,73,91,106
2026-08-20,73,91,32
2026-08-21,73,91,35
2026-08-22,79,98,50
2026-08-23,79,98,34
2026-08-24,79,98,66
2026-08-25,79,98,73
2026-08-26,79,98,51
2026-08-27,79,98,51
2026-08-28,79,98,54
