Country,Clicks,Impressions,CTR,Position
Iran,81,384,21.09%,16.16
Germany,1,2,50%,2
Azerbaijan,0,3,0%,5
United States,0,2,0%,6
France,0,1,0%,1
China,0,1,0%,4
United Kingdom,0,1,0%,5
Sweden,0,1,0%,8
India,0,1,0%,77
