Date,Clicks,Impressions,CTR,Position
2026-08-31,14,76,18.42%,16.2
2026-09-01,9,49,18.37%,17.2
2026-09-02,10,53,18.87%,18.3
2026-09-03,8,40,20%,17.6
2026-09-04,16,60,26.67%,10.9
2026-09-05,14,46,30.43%,13
2026-09-06,11,72,15.28%,18.4
