Country,Clicks,Impressions,CTR,Position
Iran,298,1271,23.45%,13.27
United Kingdom,4,44,9.09%,1.57
Germany,3,9,33.33%,2.22
Finland,2,6,33.33%,3.5
Russia,1,2,50%,5.5
Australia,1,1,100%,1
United States,0,12,0%,4.75
Azerbaijan,0,10,0%,1.3
Netherlands,0,9,0%,1.11
France,0,3,0%,9.33
Italy,0,2,0%,1
China,0,1,0%,4
Canada,0,1,0%,5
Sweden,0,1,0%,8
Afghanistan,0,1,0%,10
India,0,1,0%,77
